ts,o,h,l,c
2020/11/18,5.08100000,5.19000000,4.46400000,4.87500000
2020/11/19,4.87200000,5.26500000,4.56000000,4.99200000
2020/11/20,4.99000000,5.70000000,4.78500000,5.13000000
2020/11/21,5.13700000,5.58900000,5.06900000,5.25500000
2020/11/22,5.25400000,5.34000000,4.61700000,5.00200000
2020/11/23,5.00300000,5.56000000,4.94200000,5.45200000
2020/11/24,5.45100000,5.83000000,5.10000000,5.23900000
2020/11/25,5.23900000,5.36200000,4.56500000,4.82300000
2020/11/26,4.82400000,4.84900000,3.38500000,4.33400000
2020/11/27,4.33600000,4.59900000,3.90400000,4.12400000
2020/11/28,4.12700000,4.44800000,4.00000000,4.26400000
2020/11/29,4.26400000,4.57200000,4.11900000,4.55100000
2020/11/30,4.56200000,4.95000000,4.56200000,4.74000000
2020/12/01,4.75300000,5.26800000,4.53100000,4.74400000
2020/12/02,4.74500000,5.48300000,4.67900000,5.26500000
2020/12/03,5.26600000,5.30000000,5.01300000,5.23800000
2020/12/04,5.23800000,5.35900000,4.82800000,4.95100000
2020/12/05,4.95000000,5.36000000,4.76700000,5.21800000
2020/12/06,5.21400000,5.37900000,4.94100000,5.15200000
2020/12/07,5.15300000,5.34500000,5.02500000,5.20000000
2020/12/08,5.20000000,5.49300000,4.53400000,4.67100000
2020/12/09,4.66700000,4.93400000,4.28500000,4.85900000
2020/12/10,4.85400000,4.87900000,4.44800000,4.62300000
2020/12/11,4.63100000,4.66600000,4.12600000,4.34800000
2020/12/12,4.35400000,4.63600000,4.33700000,4.45800000
2020/12/13,4.46700000,4.79000000,4.38800000,4.75100000
2020/12/14,4.74800000,5.44200000,4.60000000,5.25000000
2020/12/15,5.25100000,5.60000000,5.18200000,5.46900000
2020/12/16,5.46900000,5.47600000,4.92700000,5.27600000
2020/12/17,5.27100000,5.60000000,5.04600000,5.29400000
2020/12/18,5.29700000,6.61700000,5.16000000,6.12000000
2020/12/19,6.11700000,6.51100000,5.92000000,6.12500000
2020/12/20,6.12500000,6.38500000,5.78000000,5.96300000
2020/12/21,5.95700000,6.42400000,5.63800000,6.13600000
2020/12/22,6.14000000,7.74000000,5.70400000,7.20200000
2020/12/23,7.20300000,8.48000000,6.28800000,7.11500000
2020/12/24,7.11000000,7.78800000,6.58100000,7.48000000
2020/12/25,7.47900000,7.98000000,7.02800000,7.34100000
2020/12/26,7.35000000,8.77100000,7.28300000,8.02200000
2020/12/27,8.02600000,8.52500000,7.34000000,8.06900000
2020/12/28,8.05800000,8.46200000,7.82000000,8.00000000
2020/12/29,7.99900000,8.15700000,7.35000000,7.78600000
2020/12/30,7.78000000,7.96000000,7.23500000,7.32700000
2020/12/31,7.32700000,7.84700000,7.04200000,7.23000000
2021/01/01,7.23000000,8.55600000,7.15400000,8.30800000
2021/01/02,8.31400000,8.61800000,7.98100000,8.19200000
2021/01/03,8.19200000,9.62500000,7.99700000,9.53900000
2021/01/04,9.52700000,11.49800000,8.40000000,11.49200000
2021/01/05,11.46300000,13.38000000,10.45800000,12.38100000
2021/01/06,12.40200000,13.30000000,11.46100000,12.12900000
2021/01/07,12.11200000,13.20000000,11.10000000,11.57900000
2021/01/08,11.59400000,12.88500000,9.80000000,11.80400000
2021/01/09,11.80500000,13.88700000,11.05000000,13.10000000
2021/01/10,13.10000000,14.80000000,12.19700000,14.11600000
2021/01/11,14.11400000,14.18600000,10.40800000,12.89100000
2021/01/12,12.88900000,16.00000000,12.17000000,14.88800000
2021/01/13,14.88100000,16.50500000,13.80000000,15.50100000
2021/01/14,15.51000000,16.00000000,14.04600000,14.71100000
2021/01/15,14.68300000,15.53800000,13.15000000,15.12700000
2021/01/16,15.12800000,17.15000000,14.93300000,15.56000000
2021/01/17,15.54100000,16.35000000,14.41500000,15.68000000
2021/01/18,15.67600000,15.75800000,14.85000000,15.58200000
2021/01/19,15.58200000,16.79000000,15.15000000,15.15100000
2021/01/20,15.15000000,15.80000000,13.76400000,15.73400000
2021/01/21,15.71800000,15.80000000,11.61100000,12.33700000
2021/01/22,12.31700000,15.13000000,11.26300000,14.22800000
2021/01/23,14.20700000,15.49600000,13.93300000,14.60800000
2021/01/24,14.60800000,17.83500000,14.43900000,17.50000000
2021/01/25,17.48400000,18.25000000,15.39300000,15.47000000
2021/01/26,15.47000000,17.23000000,14.76600000,16.87500000
2021/01/27,16.86000000,17.42800000,14.71700000,15.26500000
