ts,o,h,l,c
2020/02/03,9331.59000000,9618.79000000,9234.00000000,9292.24000000
2020/02/04,9291.35000000,9350.00000000,9093.01000000,9197.02000000
2020/02/05,9197.02000000,9744.45000000,9177.22000000,9612.04000000
2020/02/06,9612.03000000,9862.57000000,9526.35000000,9772.00000000
2020/02/07,9772.00000000,9885.00000000,9730.00000000,9813.73000000
2020/02/08,9813.87000000,9940.00000000,9667.11000000,9895.05000000
2020/02/09,9895.04000000,10166.00000000,9880.75000000,10151.75000000
2020/02/10,10151.72000000,10188.00000000,9756.00000000,9851.83000000
2020/02/11,9851.74000000,10323.59000000,9700.00000000,10223.08000000
2020/02/12,10223.08000000,10450.00000000,10223.08000000,10326.46000000
2020/02/13,10325.33000000,10500.00000000,10080.00000000,10229.63000000
2020/02/14,10227.78000000,10381.56000000,10111.37000000,10344.36000000
2020/02/15,10344.36000000,10375.00000000,9801.00000000,9904.72000000
2020/02/16,9904.46000000,10050.00000000,9638.12000000,9917.27000000
2020/02/17,9910.70000000,9964.16000000,9452.67000000,9706.00000000
2020/02/18,9706.00000000,10250.00000000,9576.01000000,10164.71000000
2020/02/19,10164.78000000,10250.00000000,9350.00000000,9593.79000000
2020/02/20,9594.65000000,9699.00000000,9400.00000000,9596.42000000
2020/02/21,9597.21000000,9755.51000000,9550.21000000,9677.05000000
2020/02/22,9677.05000000,9709.17000000,9560.02000000,9650.86000000
2020/02/23,9650.85000000,9990.00000000,9645.00000000,9936.40000000
2020/02/24,9936.40000000,9990.00000000,9473.56000000,9656.13000000
2020/02/25,9655.52000000,9675.00000000,9250.00000000,9315.84000000
2020/02/26,9316.48000000,9377.44000000,8633.63000000,8785.25000000
2020/02/27,8786.00000000,8971.77000000,8531.00000000,8823.21000000
2020/02/28,8823.25000000,8900.00000000,8445.00000000,8692.91000000
2020/02/29,8690.80000000,8790.00000000,8523.55000000,8523.61000000
2020/03/01,8523.61000000,8750.00000000,8411.00000000,8531.88000000
2020/03/02,8530.30000000,8965.75000000,8498.00000000,8915.24000000
2020/03/03,8911.18000000,8919.65000000,8651.00000000,8760.07000000
2020/03/04,8760.07000000,8848.29000000,8660.00000000,8750.87000000
2020/03/05,8750.99000000,9159.42000000,8746.54000000,9054.68000000
2020/03/06,9054.64000000,9170.00000000,8985.50000000,9131.88000000
2020/03/07,9130.89000000,9188.00000000,8835.00000000,8886.66000000
2020/03/08,8885.25000000,8886.76000000,8000.00000000,8033.31000000
2020/03/09,8034.76000000,8179.31000000,7632.01000000,7929.87000000
2020/03/10,7929.87000000,8149.00000000,7728.01000000,7894.56000000
2020/03/11,7894.57000000,7980.00000000,7590.00000000,7934.52000000
2020/03/12,7934.58000000,7966.17000000,4410.00000000,4800.00000000
2020/03/13,4800.01000000,5955.00000000,3782.13000000,5578.60000000
2020/03/14,5576.05000000,5640.52000000,5055.13000000,5172.06000000
2020/03/15,5172.48000000,5940.00000000,5093.10000000,5361.30000000
2020/03/16,5360.33000000,5365.42000000,4442.12000000,5028.97000000
2020/03/17,5028.86000000,5525.00000000,4921.45000000,5312.64000000
2020/03/18,5312.64000000,5436.17000000,5009.37000000,5393.04000000
2020/03/19,5393.26000000,6400.00000000,5252.53000000,6162.37000000
2020/03/20,6162.05000000,6900.00000000,5670.00000000,6208.36000000
2020/03/21,6204.57000000,6456.98000000,5860.02000000,6186.98000000
2020/03/22,6187.04000000,6407.87000000,5734.01000000,5816.19000000
2020/03/23,5816.05000000,6600.00000000,5688.00000000,6467.31000000
2020/03/24,6465.25000000,6833.00000000,6371.33000000,6744.72000000
2020/03/25,6744.69000000,6957.96000000,6450.00000000,6677.43000000
2020/03/26,6677.42000000,6780.00000000,6510.00000000,6737.36000000
2020/03/27,6737.27000000,6842.59000000,6261.00000000,6359.11000000
2020/03/28,6359.11000000,6360.00000000,6024.00000000,6236.65000000
2020/03/29,6236.65000000,6266.00000000,5866.56000000,5881.42000000
2020/03/30,5880.50000000,6599.00000000,5857.76000000,6394.38000000
2020/03/31,6394.45000000,6523.23000000,6321.40000000,6410.44000000
2020/04/01,6412.14000000,6679.94000000,6150.11000000,6642.92000000
2020/04/02,6643.36000000,7198.00000000,6551.00000000,6794.09000000
2020/04/03,6793.86000000,7048.00000000,6602.10000000,6734.10000000
2020/04/04,6732.97000000,6990.41000000,6650.01000000,6856.99000000
2020/04/05,6857.41000000,6895.54000000,6677.52000000,6772.78000000
2020/04/06,6772.78000000,7355.14000000,6765.00000000,7329.90000000
2020/04/07,7329.90000000,7459.69000000,7077.00000000,7197.32000000
2020/04/08,7197.32000000,7420.00000000,7150.00000000,7361.28000000
2020/04/09,7360.26000000,7371.92000000,7108.08000000,7283.54000000
2020/04/10,7283.54000000,7295.75000000,6739.98000000,6858.92000000
2020/04/11,6858.92000000,6944.30000000,6760.00000000,6876.83000000
2020/04/12,6876.84000000,7177.00000000,6780.00000000,6903.79000000
2020/04/13,6903.79000000,6903.79000000,6575.00000000,6837.91000000
2020/04/14,6838.04000000,6978.00000000,6754.28000000,6868.70000000
2020/04/15,6868.57000000,6933.00000000,6605.00000000,6621.24000000
2020/04/16,6621.25000000,7190.00000000,6468.27000000,7101.94000000
2020/04/17,7101.99000000,7148.12000000,6972.98000000,7027.55000000
2020/04/18,7026.78000000,7293.08000000,7014.40000000,7248.60000000
2020/04/19,7248.60000000,7266.15000000,7055.60000000,7120.74000000
2020/04/20,7121.40000000,7220.00000000,6751.00000000,6826.83000000
2020/04/21,6828.98000000,6940.00000000,6762.00000000,6841.37000000
2020/04/22,6841.36000000,7156.38000000,6818.00000000,7125.14000000
2020/04/23,7125.12000000,7738.00000000,7020.00000000,7482.39000000
2020/04/24,7483.96000000,7615.96000000,7388.00000000,7505.00000000
2020/04/25,7505.00000000,7705.00000000,7431.07000000,7538.67000000
2020/04/26,7539.03000000,7700.00000000,7480.00000000,7693.10000000
2020/04/27,7693.10000000,7792.02000000,7606.00000000,7774.62000000
2020/04/28,7773.51000000,7780.00000000,7659.12000000,7738.98000000
